makam,num_usuls,shapeh_mean,shapeh_best,avg_rank,best_rank
Hüzzam Beste,2,66.08367999230462,70.44505154281808,295.2261904761905,160.21428571428572
Sultânîyegâh Medhal,1,64.55850711732022,64.55850711732022,297.26190476190476,297.26190476190476
Beyâtî Beste,5,68.88865988130186,74.58797977781397,301.1642857142857,55.54761904761905
Dügâh İlâhî,1,62.74217687995454,62.74217687995454,301.6904761904762,301.6904761904762
Evcârâ Sazsemâîsi,1,65.69066256991428,65.69066256991428,305.1190476190476,305.1190476190476
Gülizâr Peşrev,1,67.99864906281495,67.99864906281495,313.42857142857144,313.42857142857144
Hüseynî (Mi'de) Türkü,1,64.37045801449554,64.37045801449554,317.7857142857143,317.7857142857143
Ruhnevaz Nakış,2,66.60837904547674,69.14933912802096,321.80952380952385,222.1904761904762
Rast Medhal,2,65.3435704656392,66.85306053692332,335.3452380952381,196.16666666666666
Sultânîsegâh Peşrev,1,63.86247507281002,63.86247507281002,336.95238095238096,336.95238095238096
Nihâvent Kâr,1,67.54984227110074,67.54984227110074,345.4047619047619,345.4047619047619
Hicaz-Hümâyûn Beste,1,68.70597347964743,68.70597347964743,353.8095238095238,353.8095238095238
Muhayyer Yürüksemâî,1,66.30844226609443,66.30844226609443,357.1666666666667,357.1666666666667
Şeddisabâ Sazsemâîsi,1,61.23320073428403,61.23320073428403,362.1904761904762,362.1904761904762
Rast Ağırsemâî,1,63.21753937524249,63.21753937524249,364.0238095238095,364.0238095238095
Pençgâh Murabbâ,1,65.62788870322167,65.62788870322167,365.04761904761904,365.04761904761904
Şehnâz Yürüksemâî,1,61.83369734136423,61.83369734136423,378.3333333333333,378.3333333333333
Sabâ Beste,2,65.09608510414145,66.04348525682674,381.05952380952385,334.23809523809524
Pesendîde Nakış,1,62.126787453431355,62.126787453431355,383.2142857142857,383.2142857142857
Eviç Peşrev,1,65.47308582550959,65.47308582550959,385.8333333333333,385.8333333333333
Karcığar Nakış,1,66.01103993756911,66.01103993756911,389.6666666666667,389.6666666666667
Dügâh Kâr,1,67.25718832762048,67.25718832762048,390.6190476190476,390.6190476190476
Gülşen-i-Vefâ Sazsemâîsi,1,60.37856496040778,60.37856496040778,391.73809523809524,391.73809523809524
Hisarbûselik Sazsemâîsi,1,65.12901708741607,65.12901708741607,396.4047619047619,396.4047619047619
Eviç Sazsemâîsi,1,62.69598048066284,62.69598048066284,398.7857142857143,398.7857142857143
Şedarabân Peşrev,1,65.88718182960905,65.88718182960905,404.9047619047619,404.9047619047619
Hicazkâr Nakış,1,65.00116047062718,65.00116047062718,409.73809523809524,409.73809523809524
Nühüft Beste,2,64.41047340004185,68.73873437202471,416.7142857142857,225.47619047619048
Irak Sazsemâîsi,1,65.1961159067778,65.1961159067778,419.4761904761905,419.4761904761905
Hisarbûselik Beste,1,60.75924419966491,60.75924419966491,420.73809523809524,420.73809523809524
Acemkürdî Ağırsemâî,1,62.24002037318889,62.24002037318889,423.6666666666667,423.6666666666667
Muhayyer Murabbâ,1,67.60037484144178,67.60037484144178,424.6666666666667,424.6666666666667
Muhayyer Beste,2,63.9572753289995,69.44010093862647,428.7619047619047,228.3095238095238
Acemaşîrân Ağırsemâî,1,66.39164279347872,66.39164279347872,442.5238095238095,442.5238095238095
Eviç-Horasânî Peşrev,1,63.103420712219716,63.103420712219716,445.0952380952381,445.0952380952381
Nevâ Murabbâ,2,64.86659791656614,66.36743970209675,447.54761904761904,298.0238095238095
Bestenigâr Peşrev,1,66.16012881854833,66.16012881854833,460,460
Hicazaşîrân Beste,1,65.71126160190799,65.71126160190799,461.26190476190476,461.26190476190476
Sultânîyegâh Yürüksemâî,1,62.30808928141511,62.30808928141511,461.92857142857144,461.92857142857144
