raga,makam,usul,metric,agg,value
Bhairav,Acemkürdî Şarkı,Ağıraksak,shapeh_score,top_5_mean,43.26318020778573
Bhairav,Acemkürdî Şarkı,Aksak,shapeh_score,mean,21.416151238485426
Bhairav,Acemkürdî Şarkı,Aksak,shapeh_score,median,19.136309729861402
Bhairav,Acemkürdî Şarkı,Aksak,shapeh_score,max,50.25539087685704
Bhairav,Acemkürdî Şarkı,Aksak,shapeh_score,top_5_mean,47.250907940903666
Bhairav,Acemkürdî Şarkı,Curcuna,shapeh_score,mean,22.816759181417435
Bhairav,Acemkürdî Şarkı,Curcuna,shapeh_score,median,22.628381006107073
Bhairav,Acemkürdî Şarkı,Curcuna,shapeh_score,max,46.794358899843694
Bhairav,Acemkürdî Şarkı,Curcuna,shapeh_score,top_5_mean,38.80574922397298
Bhairav,Acemkürdî Şarkı,Devr-i Hindî,shapeh_score,mean,28.427086532225182
Bhairav,Acemkürdî Şarkı,Devr-i Hindî,shapeh_score,median,26.078240544864258
Bhairav,Acemkürdî Şarkı,Devr-i Hindî,shapeh_score,max,67.31003257960057
Bhairav,Acemkürdî Şarkı,Devr-i Hindî,shapeh_score,top_5_mean,50.66945309862341
Bhairav,Acemkürdî Şarkı,Düyek,shapeh_score,mean,20.90232195653344
Bhairav,Acemkürdî Şarkı,Düyek,shapeh_score,median,19.60786241066252
Bhairav,Acemkürdî Şarkı,Düyek,shapeh_score,max,52.36822712554462
Bhairav,Acemkürdî Şarkı,Düyek,shapeh_score,top_5_mean,50.53492926366108
Bhairav,Acemkürdî Şarkı,K. Curcuna,shapeh_score,mean,25.6554042439429
Bhairav,Acemkürdî Şarkı,K. Curcuna,shapeh_score,median,25.060522983077693
Bhairav,Acemkürdî Şarkı,K. Curcuna,shapeh_score,max,52.01807761836987
Bhairav,Acemkürdî Şarkı,K. Curcuna,shapeh_score,top_5_mean,49.86786486089916
Bhairav,Acemkürdî Şarkı,Semâî,shapeh_score,mean,19.821909285662166
Bhairav,Acemkürdî Şarkı,Semâî,shapeh_score,median,18.72838200329642
Bhairav,Acemkürdî Şarkı,Semâî,shapeh_score,max,39.65843558085566
Bhairav,Acemkürdî Şarkı,Semâî,shapeh_score,top_5_mean,37.944350423734235
Bhairav,Acemkürdî Şarkı,Senginsemâî,shapeh_score,mean,23.932871527822293
Bhairav,Acemkürdî Şarkı,Senginsemâî,shapeh_score,median,24.125294705067006
Bhairav,Acemkürdî Şarkı,Senginsemâî,shapeh_score,max,57.71790154322165
Bhairav,Acemkürdî Şarkı,Senginsemâî,shapeh_score,top_5_mean,43.85412729549422
Bhairav,Acemkürdî Şarkı,Sofyan,shapeh_score,mean,20.673035297857407
Bhairav,Acemkürdî Şarkı,Sofyan,shapeh_score,median,21.24100107838905
Bhairav,Acemkürdî Şarkı,Sofyan,shapeh_score,max,28.99831118860697
Bhairav,Acemkürdî Şarkı,Sofyan,shapeh_score,top_5_mean,27.824530858024453
Bhairav,Acemkürdî Şarkı,Yürüksemâî(6/4),shapeh_score,mean,23.432293912674567
Bhairav,Acemkürdî Şarkı,Yürüksemâî(6/4),shapeh_score,median,23.412244131896813
Bhairav,Acemkürdî Şarkı,Yürüksemâî(6/4),shapeh_score,max,47.539128285560786
Bhairav,Acemkürdî Şarkı,Yürüksemâî(6/4),shapeh_score,top_5_mean,43.65684492138583
Bhairav,Acemkürdî Şarkı,Yürüksemâî II,shapeh_score,mean,16.43103626696265
Bhairav,Acemkürdî Şarkı,Yürüksemâî II,shapeh_score,median,16.45932322183332
